,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian_por,traveltime_por,studytime_por,failures_por,schoolsup_por,famsup_por,paid_por,activities_por,nursery,higher_por,internet,romantic_por,famrel_por,freetime_por,goout_por,Dalc_por,Walc_por,health_por,absences_por,G1_por,G2_por,G3_por,guardian_mat,traveltime_mat,studytime_mat,failures_mat,schoolsup_mat,famsup_mat,paid_mat,activities_mat,higher_mat,romantic_mat,famrel_mat,freetime_mat,goout_mat,Dalc_mat,Walc_mat,health_mat,absences_mat,G1_mat,G2_mat,G3_mat
0,GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2.0,2.0,0.0,yes,no,no,no,yes,yes,no,no,4.0,3.0,4.0,1.0,1.0,3.0,4.0,0.0,11.0,11.0,mother,2.0,2.0,0.0,yes,no,no,no,yes,no,4.0,3.0,4.0,1.0,1.0,3.0,6.0,5.0,6.0,6.0
1,GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1.0,2.0,0.0,no,yes,no,no,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,3.0,2.0,9.0,11.0,11.0,father,1.0,2.0,0.0,no,yes,no,no,yes,no,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,5.0,6.0
2,GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1.0,2.0,0.0,yes,no,no,no,yes,yes,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,6.0,12.0,13.0,12.0,mother,1.0,2.0,3.0,yes,no,yes,no,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,10.0,7.0,8.0,10.0
3,GP,F,15,U,GT3,T,4,2,health,services,home,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,3.0,2.0,2.0,1.0,1.0,5.0,0.0,14.0,14.0,14.0,mother,1.0,3.0,0.0,no,yes,yes,yes,yes,yes,3.0,2.0,2.0,1.0,1.0,5.0,2.0,15.0,14.0,15.0
4,GP,F,16,U,GT3,T,3,3,other,other,home,father,1.0,2.0,0.0,no,yes,no,no,yes,yes,no,no,4.0,3.0,2.0,1.0,2.0,5.0,0.0,11.0,13.0,13.0,father,1.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,3.0,2.0,1.0,2.0,5.0,4.0,6.0,10.0,10.0
5,GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,2.0,1.0,2.0,5.0,6.0,12.0,12.0,13.0,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,no,5.0,4.0,2.0,1.0,2.0,5.0,10.0,15.0,15.0,15.0
6,GP,M,16,U,LE3,T,2,2,other,other,home,mother,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,13.0,12.0,13.0,mother,1.0,2.0,0.0,no,no,no,no,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,12.0,12.0,11.0
7,GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2.0,2.0,0.0,yes,yes,no,no,yes,yes,no,no,4.0,1.0,4.0,1.0,1.0,1.0,2.0,10.0,13.0,13.0,mother,2.0,2.0,0.0,yes,yes,no,no,yes,no,4.0,1.0,4.0,1.0,1.0,1.0,6.0,6.0,5.0,6.0
8,GP,M,15,U,LE3,A,3,2,services,other,home,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,1.0,0.0,15.0,16.0,17.0,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,2.0,2.0,1.0,1.0,1.0,0.0,16.0,18.0,19.0
9,GP,M,15,U,GT3,T,3,4,other,other,home,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,5.0,1.0,1.0,1.0,5.0,0.0,12.0,12.0,13.0,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,no,5.0,5.0,1.0,1.0,1.0,5.0,0.0,14.0,15.0,15.0
